# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,單次工作階段頁數
000238,0.00
000239,0.00
000240,0.00
000241,0.00
000242,0.00
000243,0.00
000244,0.00
000245,0.00
000246,0.00
000247,0.00
000248,0.00
000249,0.00
000250,0.00
000251,0.00
000252,0.00
000253,0.00
000254,0.00
000255,0.00
000256,0.00
000257,0.00
000258,0.00
000259,0.00
000260,0.00
000261,0.00
000262,0.00
000263,0.00
000264,0.00
000265,0.00
000266,0.00
000267,0.00
000268,0.00
000269,0.00
000270,0.00
000271,0.00
000272,0.00
000273,0.00
000274,0.00
000275,0.00
000276,0.00
000277,0.00
000278,0.00
000279,0.00
000280,0.00
000281,0.00
000282,0.00
000283,0.00
000284,0.00
000285,0.00
000286,0.00
000287,0.00
000288,0.00
000289,0.00
000290,0.00
000291,0.00
000292,0.00
000293,0.00
000294,0.00
000295,0.00
000296,0.00
000297,0.00
000298,0.00
000299,0.00
000300,0.00
000301,0.00
000302,0.00
000303,0.00
000304,0.00
000305,0.00
000306,0.00
000307,0.00
000308,0.00
000309,0.00
000310,0.00
000311,0.00
000312,0.00
000313,0.00
000314,0.00
000315,0.00
000316,0.00
000317,0.00
000318,0.00
000319,0.00
000320,0.00
000321,0.00
000322,0.00
000323,0.00
000324,0.00
000325,0.00
000326,0.00
000327,0.00
000328,0.00
000329,0.00
000330,0.00
000331,0.00
000332,0.00
000333,0.00
000334,0.00
000335,0.00
000336,0.00
000337,0.00
000338,0.00
000339,0.00
000340,0.00
000341,0.00
000342,0.00
000343,0.00
000344,0.00
000345,0.00
000346,0.00
000347,0.00
000348,0.00
000349,0.00
000350,0.00
000351,0.00
000352,0.00
000353,0.00
000354,0.00
000355,0.00
000356,0.00
000357,0.00
000358,0.00
000359,0.00
000360,0.00
000361,0.00
000362,0.00
000363,0.00
000364,0.00
000365,0.00
000366,0.00
000367,0.00
000368,0.00
000369,0.00
000370,0.00
000371,0.00
000372,0.00
000373,0.00
000374,0.00
000375,0.00
000376,0.00
000377,0.00
000378,0.00
000379,0.00
000380,0.00
000381,0.00
000382,0.00
000383,0.00
000384,0.00
000385,0.00
000386,0.00
000387,0.00
000388,0.00
000389,0.00
000390,0.00
000391,0.00
000392,0.00
000393,0.00
000394,0.00
000395,0.00
000396,0.00
000397,0.00
000398,0.00
000399,0.00
000400,0.00
000401,0.00
000402,0.00
000403,0.00
000404,0.00
000405,0.00
000406,0.00
000407,0.00
000408,0.00
000409,0.00
000410,0.00
000411,0.00
000412,0.00
000413,0.00
000414,0.00
000415,0.00
000416,0.00
000417,0.00
000418,0.00
000419,0.00
000420,0.00
000421,0.00
000422,0.00
000423,0.00
000424,0.00
000425,0.00
000426,0.00
000427,0.00
000428,0.00
000429,0.00
000430,0.00
000431,0.00
000432,0.00
000433,0.00
000434,0.00
000435,0.00
000436,0.00
000437,0.00
000438,0.00
000439,0.00
000440,0.00
000441,0.00
000442,0.00
000443,0.00
000444,0.00
000445,0.00
000446,0.00
000447,0.00
000448,0.00
000449,0.00
000450,0.00
000451,0.00
000452,0.00
000453,0.00
000454,0.00
000455,0.00
000456,0.00
000457,0.00
000458,0.00
000459,0.00
000460,0.00
000461,0.00
000462,0.00
000463,0.00
000464,0.00
000465,0.00
000466,0.00
000467,0.00
000468,0.00
000469,0.00
000470,0.00
000471,0.00
000472,0.00
000473,0.00
000474,0.00
000475,0.00
000476,0.00
000477,0.00
000478,0.00
000479,0.00
000480,0.00
000481,0.00
000482,0.00
000483,0.00
000484,0.00
000485,0.00
000486,0.00
000487,0.00
000488,0.00
000489,0.00
000490,0.00
000491,0.00
000492,0.00
000493,0.00
000494,0.00
000495,0.00
000496,0.00
000497,0.00
000498,0.00
000499,0.00
000500,0.00
000501,0.00
000502,0.00
000503,0.00
000504,0.00
000505,0.00
000506,0.00
000507,0.00
000508,0.00
000509,0.00
000510,0.00
000511,0.00
000512,0.00
000513,0.00
000514,0.00
000515,0.00
000516,0.00
000517,0.00
000518,0.00
000519,0.00
000520,0.00
000521,0.00
000522,0.00
000523,0.00
000524,0.00
000525,0.00
000526,0.00
000527,0.00
000528,0.00
000529,0.00
000530,0.00
000531,0.00
000532,0.00
000533,0.00
000534,0.00
000535,0.00
000536,0.00
000537,0.00
000538,0.00
000539,0.00
000540,0.00
000541,0.00
000542,0.00
000543,0.00
000544,0.00
000545,0.00
000546,0.00
000547,0.00
000548,0.00
000549,0.00
000550,0.00
000551,0.00
000552,0.00
000553,0.00
000554,0.00
000555,0.00
000556,0.00
000557,0.00
000558,0.00
000559,0.00
000560,0.00
000561,0.00
000562,0.00
000563,0.00
000564,0.00
000565,0.00
000566,0.00
000567,0.00
000568,0.00
000569,0.00
000570,0.00
000571,0.00
000572,0.00
000573,0.00
000574,0.00
000575,0.00
000576,0.00
000577,0.00
000578,0.00
000579,0.00
000580,0.00
000581,0.00
000582,0.00
000583,0.00
000584,0.00
000585,0.00
000586,0.00
000587,0.00
000588,0.00
000589,0.00
000590,0.00
000591,0.00
000592,0.00
000593,0.00
000594,0.00
000595,0.00
000596,0.00
000597,0.00
000598,0.00
000599,0.00
000600,0.00
000601,0.00
000602,0.00
000603,0.00
000604,0.00
000605,0.00
000606,0.00
000607,0.00
000608,0.00
000609,0.00
000610,0.00
000611,0.00
000612,0.00
000613,0.00
000614,0.00
000615,0.00
000616,0.00
000617,0.00
000618,0.00
000619,0.00
000620,0.00
000621,0.00
000622,0.00
000623,0.00
000624,0.00
000625,0.00
000626,0.00
000627,0.00
000628,0.00
000629,0.00
000630,0.00
000631,0.00
000632,0.00
000633,0.00
000634,0.00
000635,0.00
000636,0.00
000637,0.00
000638,0.00
000639,0.00
000640,0.00
000641,0.00
000642,0.00
000643,0.00
000644,0.00
000645,0.00
000646,0.00
000647,0.00
000648,0.00
000649,0.00
000650,0.00
000651,0.00
000652,0.00
000653,0.00
000654,0.00
000655,0.00
000656,0.00
000657,0.00
000658,0.00
000659,0.00
000660,0.00
000661,0.00
000662,0.00
000663,0.00
000664,0.00
000665,0.00
000666,0.00
000667,0.00
000668,0.00
000669,0.00
000670,0.00
000671,0.00
000672,0.00
000673,0.00
000674,0.00
000675,0.00
000676,0.00
000677,0.00
000678,0.00
000679,0.00
000680,0.00
000681,0.00
000682,0.00
000683,0.00
000684,0.00
000685,0.00
000686,0.00
000687,0.00
000688,0.00
000689,0.00
000690,0.00
000691,0.00
000692,0.00
000693,0.00
000694,0.00
000695,0.00
000696,0.00
000697,0.00
000698,0.00
000699,0.00
000700,0.00
000701,0.00
000702,0.00
000703,0.00
000704,0.00
000705,0.00
000706,0.00
000707,0.00
000708,0.00
000709,0.00
000710,0.00
000711,0.00
000712,0.00
000713,0.00
000714,0.00
000715,0.00
000716,0.00
000717,0.00
000718,0.00
000719,0.00
000720,0.00
000721,0.00
000722,0.00
000723,0.00
000724,0.00
000725,0.00
000726,0.00
000727,0.00
000728,0.00
000729,0.00
000730,0.00
000731,0.00
000732,0.00
000733,0.00
000734,0.00
000735,0.00
000736,0.00
000737,0.00
000738,0.00
000739,0.00
000740,0.00
000741,0.00
000742,0.00
000743,0.00
000744,0.00
000745,0.00
000746,0.00
000747,0.00
000748,0.00
000749,0.00
000750,0.00
000751,0.00
000752,0.00
000753,0.00
000754,0.00
000755,0.00
000756,0.00
000757,0.00
000758,0.00
000759,0.00
000760,0.00
000761,0.00
000762,0.00
000763,0.00
000764,0.00
000765,0.00
000766,0.00
000767,0.00
000768,0.00
000769,19.00
000770,14.46
000771,2.80
000772,1.00
000773,1.00
000774,31.00
000775,7.00
000776,27.75
000777,18.00
000778,16.00
000779,20.00
000780,18.19
000781,16.16
000782,30.14
000783,18.53
000784,10.50
000785,13.91
000786,18.50
000787,19.70
000788,12.69
000789,15.90
000790,17.91
000791,18.90
000792,19.94
000793,21.58
000794,13.27
000795,21.82
000796,11.67
000797,0.00
000798,25.00
000799,23.67
000800,15.05
000801,14.68
000802,17.65
000803,15.84
000804,32.65
000805,9.67
000806,19.21
000807,14.20
000808,13.60
000809,14.75
000810,17.53
000811,8.00
000812,11.67
000813,15.70
000814,7.61
000815,12.55
000816,13.70
000817,60.25
000818,42.00
000819,7.50
000820,0.00
000821,0.00
000822,3.00
000823,2.00
000824,10.00
000825,18.00
000826,10.91
000827,49.44
000828,19.32
000829,15.61
000830,8.45
000831,12.29
000832,11.39
000833,12.76
000834,11.10
000835,6.09
000836,17.05
000837,12.75
000838,14.00
000839,13.55
000840,17.15
000841,13.29
000842,16.33
000843,32.00
000844,1.00
000845,0.00
000846,2.00
000847,11.67
000848,13.14
000849,14.29
000850,16.67
000851,16.57
000852,29.76
000853,16.06
000854,18.82
000855,12.17
000856,10.67
000857,10.53
000858,15.00
000859,12.83
000860,25.00
000861,12.88
000862,8.82
000863,8.17
000864,15.83
000865,5.80
000866,2.00
000867,10.00
000868,22.00
000869,6.00
000870,2.00
000871,6.00
000872,15.38
000873,9.46
000874,8.64
000875,21.83
000876,10.75
000877,9.50
000878,7.07
000879,15.81
000880,16.31
000881,24.22
000882,9.42
000883,16.21
000884,15.53
000885,20.11
000886,14.57
000887,9.33
000888,5.00
000889,8.00
000890,1.00
000891,0.00
000892,1.00
000893,0.00
000894,0.00
000895,1.00
000896,0.00
000897,1.00
000898,4.00
000899,25.00
000900,10.00
000901,0.00
000902,4.00
000903,14.67
000904,15.67
000905,13.00
000906,6.00
000907,21.00
000908,19.70
000909,24.10
000910,16.75
000911,16.19
000912,19.25
000913,11.67
000914,54.75
000915,0.00
000916,2.00
000917,0.00
000918,0.00
000919,15.00
000920,11.50
000921,15.00
000922,1.67
000923,9.00
000924,0.00
000925,6.14
000926,66.75
000927,0.00
000928,12.67
000929,22.67
000930,3.00
000931,15.00
000932,25.50
000933,14.00
000934,9.00
000935,7.27
000936,5.00
000937,43.00
000938,11.00
000939,0.00
000940,6.00
000941,0.00
000942,30.00
000943,0.00
000944,1.00
000945,10.00
000946,0.00
000947,3.00
000948,8.50
000949,4.00
000950,3.50
000951,4.67
000952,19.00
000953,36.25
000954,5.50
000955,1.00
000956,8.25
000957,6.67
000958,1.00
000959,19.67
000960,11.50
000961,7.67
000962,0.00
000963,0.00
000964,1.00
000965,0.00
000966,0.00
000967,0.00
000968,0.00
000969,0.00
000970,1.00
000971,0.00
000972,4.00
000973,1.00
000974,0.00
000975,18.71
000976,23.40
000977,1.33
000978,4.67
000979,1.00
000980,29.00
000981,1.00
000982,1.00
000983,57.67
000984,1.00
000985,6.50
000986,1.00
000987,0.00
000988,1.00
000989,1.00
000990,0.00
000991,1.00
000992,1.00
000993,16.00
000994,2.00
000995,13.67
000996,21.00
000997,15.00
000998,12.50
000999,1.00
001000,53.00
001001,1.00
001002,1.00
001003,1.00
001004,4.00
001005,0.00
001006,1.00
001007,8.25
001008,8.00
001009,0.00
001010,0.00
001011,1.00
001012,1.00
001013,0.00
001014,0.00
001015,0.00
001016,6.50
001017,6.00
001018,26.00
001019,31.00
001020,5.00
001021,2.67
001022,4.60
001023,11.00
001024,4.00
001025,9.06
001026,9.25
001027,7.38
001028,8.83
001029,10.90
001030,20.22
001031,17.37
001032,11.35
001033,29.12
001034,10.00
001035,0.00
001036,0.00
001037,0.00
001038,0.00
001039,6.90
001040,7.67
001041,10.36
001042,18.87
001043,49.90
001044,17.33
001045,22.85
001046,9.10
001047,18.00
001048,26.57
001049,12.86
001050,25.00
001051,11.14
001052,13.29
001053,10.82
001054,14.50
001055,14.67
001056,12.00
001057,13.40
001058,0.00
001059,0.00
001060,0.00
001061,7.00
001062,0.00
001063,9.00
001064,7.50
001065,3.00
001066,2.00
001067,6.67
001068,9.00
001069,15.00
001070,45.00
001071,7.67
001072,4.00
001073,5.33
001074,10.67
001075,18.25
001076,30.25
001077,8.33
001078,1.00
001079,29.14
001080,1.00
001081,0.00
001082,0.00
001083,0.00
001084,0.00
001085,0.00
001086,0.00
001087,0.00
001088,0.00
001089,7.50
001090,5.00
001091,3.20
001092,7.50
001093,22.75
001094,17.50
001095,5.29
001096,36.00
001097,19.33
001098,1.00
001099,18.67
001100,7.50
001101,3.00
001102,2.67
001103,0.00
001104,5.00
001105,74.00
001106,5.00
001107,0.00
001108,0.00
001109,0.00
001110,0.00
001111,0.00
001112,0.00
001113,0.00
001114,7.50
001115,2.00
001116,8.50
001117,12.00
001118,1.00
001119,3.00
001120,1.00
001121,0.00
001122,1.00
001123,1.00
001124,0.00
001125,0.00
001126,0.00
001127,7.57
001128,9.00
001129,1.00
001130,0.00
001131,1.00
001132,0.00
001133,1.00
001134,0.00
001135,0.00
001136,0.00
001137,0.00
001138,0.00
001139,6.00
001140,7.50
001141,0.00
001142,1.00
001143,0.00
001144,39.50
001145,1.00
001146,0.00
001147,19.00
001148,0.00
001149,5.00
001150,0.00
001151,1.00
001152,0.00
001153,4.00
001154,0.00
001155,0.00
001156,0.00
001157,0.00
001158,9.00
001159,0.00
001160,0.00
001161,0.00
001162,109.00
001163,0.00
001164,0.00
001165,1.00
001166,1.33
001167,3.50
001168,14.00
001169,8.00
001170,1.00
001171,2.00
001172,1.33
001173,15.00
001174,2.00
001175,19.00
001176,0.00
001177,0.00
001178,7.67
001179,0.00
001180,0.00
001181,0.00
001182,0.00
001183,0.00
001184,10.00
001185,0.00
001186,0.00
001187,1.00
001188,0.00
001189,0.00
001190,13.00
001191,1.00
001192,1.00
001193,40.00
001194,0.00
001195,1.00
001196,1.00
001197,4.00
001198,3.33
001199,0.00
001200,0.00
001201,1.00
001202,0.00
001203,0.00
001204,0.00
001205,0.00
001206,1.00
001207,0.00
001208,1.00
001209,7.00
001210,0.00
001211,1.00
001212,0.00
001213,1.00
001214,6.00
001215,0.00
001216,1.00
001217,1.00
001218,0.00
001219,1.00
001220,16.00
001221,2.67
001222,0.00
001223,5.75
001224,7.20
001225,4.00
001226,1.00
001227,0.00
001228,1.00
001229,0.00
001230,0.00
001231,0.00
001232,23.00
001233,1.00
001234,3.50
001235,3.50
001236,0.00
001237,0.00
001238,11.00
001239,0.00
001240,9.33
001241,15.33
001242,47.67
001243,3.00
001244,6.67
001245,26.50
001246,0.00
001247,19.50
001248,3.00
001249,12.00
001250,0.00
001251,0.00
001252,0.00
001253,0.00
001254,0.00
001255,0.00
001256,3.00
001257,0.00
001258,0.00
001259,1.00
001260,1.00
001261,0.00
001262,4.50
001263,0.00
001264,6.00
001265,71.00
001266,0.00
001267,0.00
001268,0.00
001269,0.00
001270,29.00
001271,1.00
001272,0.00
001273,1.00
001274,0.00
001275,0.00
001276,0.00
001277,0.00
001278,4.00
001279,0.00
001280,0.00
001281,0.00
001282,1.00
001283,0.00
001284,0.00
001285,7.00
001286,10.67
001287,0.00
001288,0.00
001289,0.00
001290,0.00
001291,0.00
001292,4.50
001293,1.00
001294,2.00
001295,14.29
001296,11.88
001297,9.56
001298,14.82
001299,8.29
001300,28.75
001301,56.00
001302,11.00
001303,2.50
001304,11.77
001305,10.04
001306,6.18
001307,11.21
001308,8.29
001309,12.31
001310,7.29
001311,9.80
001312,11.62
001313,14.00
001314,10.92
001315,6.56
001316,11.56
001317,12.73
001318,8.90
001319,9.58
001320,10.86
001321,2.00
001322,3.67
001323,11.00
001324,0.00
001325,0.00
001326,0.00
001327,0.00
001328,7.00
001329,1.00
001330,3.67
001331,1.00
001332,4.40
001333,9.33
001334,1.00
001335,1.75
001336,1.00
001337,16.17
001338,4.00
001339,7.00
001340,0.00
001341,8.00
001342,6.50
001343,1.00
001344,1.00
001345,34.00
001346,0.00
001347,0.00
001348,0.00
001349,0.00
001350,0.00
001351,0.00
001352,0.00
001353,0.00
001354,31.50
001355,0.00
001356,0.00
001357,9.00
001358,0.00
001359,0.00
001360,2.50
001361,6.00
001362,0.00
001363,1.00
001364,1.00
001365,0.00
001366,66.00
001367,6.00
001368,3.50
001369,41.00
001370,0.00
001371,1.00
001372,1.00
001373,0.00
001374,0.00
001375,0.00
001376,0.00
001377,0.00
001378,30.00
001379,0.00
001380,0.00
001381,10.50
001382,0.00
001383,11.00
001384,32.50
001385,41.00
001386,2.00
001387,3.00
001388,4.50
001389,31.00
001390,7.00
001391,31.00
001392,2.00
001393,0.00
001394,0.00
001395,0.00
001396,0.00
001397,0.00
001398,0.00
001399,0.00
001400,0.00
001401,4.00
001402,2.00
001403,5.00
001404,0.00
001405,0.00
001406,0.00
001407,0.00
001408,1.00
001409,0.00
001410,8.50
001411,8.50
001412,5.00
001413,5.00
001414,3.00
001415,1.50
001416,74.00
001417,11.00
001418,0.00
001419,0.00
001420,0.00
001421,0.00
001422,0.00
001423,0.00
001424,0.00
001425,0.00
001426,0.00
001427,19.00
001428,21.50
001429,1.00
001430,0.00
001431,2.00
001432,16.00
001433,6.75
001434,21.50
001435,21.00
001436,0.00
001437,3.50
001438,9.25
001439,32.00
001440,15.33
001441,3.00
001442,0.00
001443,0.00
001444,0.00
001445,0.00
001446,0.00
001447,17.00
001448,1.00
001449,0.00
001450,8.00
001451,12.20
001452,0.00
001453,12.67
001454,1.00
001455,1.00
001456,5.00
001457,2.33
001458,8.60
001459,4.00
001460,6.00
001461,8.00
001462,3.75
001463,4.00
001464,7.33
001465,7.00
001466,0.00
001467,0.00
001468,0.00
001469,0.00
001470,0.00
001471,0.00
001472,0.00
001473,0.00
001474,13.33
001475,4.67
001476,8.00
001477,7.50
001478,4.25
001479,20.33
001480,5.00
001481,8.91
001482,12.33
001483,9.29
001484,4.90
001485,19.07
001486,5.38
001487,9.86
001488,6.00
001489,7.33
001490,15.00
001491,1.00
001492,0.00
001493,0.00
001494,0.00
001495,8.00
001496,17.40
001497,1.00
001498,16.91
001499,8.12
001500,12.33
001501,28.00
001502,9.25
001503,16.50
001504,6.62
001505,10.00
001506,10.86
001507,11.64
001508,12.95
001509,13.82
001510,8.68
001511,9.03
001512,9.41
001513,11.50
001514,15.20
001515,12.00
001516,0.00
001517,0.00
001518,30.00
001519,6.91
001520,11.88
001521,11.30
001522,9.17
001523,7.47
001524,7.90
001525,9.92
001526,15.86
001527,9.87
001528,6.95
001529,6.32
001530,4.64
001531,6.83
001532,14.28
001533,8.33
001534,9.36
001535,8.17
001536,6.00
001537,10.50
001538,31.57
001539,21.00
001540,0.00
001541,10.00
001542,0.00
001543,7.67
001544,3.00
001545,7.67
001546,6.10
001547,9.57
001548,6.33
001549,14.91
001550,10.54
001551,5.20
001552,6.08
001553,9.50
001554,11.57
001555,20.00
001556,14.00
001557,5.50
001558,6.33
001559,29.33
001560,6.50
001561,6.00
001562,0.00
001563,0.00
001564,0.00
001565,0.00
001566,0.00
001567,9.00
001568,6.67
001569,24.50
001570,12.80
001571,9.60
001572,3.25
001573,5.50
001574,5.57
001575,15.20
001576,12.50
001577,15.50
001578,4.17
001579,1.00
001580,17.00
001581,11.40
001582,4.75
001583,10.33
001584,27.00
001585,32.20
001586,7.00
001587,0.00
001588,1.00
001589,0.00
001590,33.00
001591,1.00
001592,0.00
001593,0.00
001594,45.00
001595,2.00
001596,23.00
001597,14.00
001598,10.38
001599,9.50
001600,1.67
001601,9.00
001602,2.00
001603,0.00
001604,9.00
001605,1.00
001606,27.33
001607,4.33
001608,12.20
001609,0.00
001610,0.00
001611,0.00
001612,0.00
001613,0.00
001614,0.00
001615,0.00
001616,3.00
001617,3.00
001618,0.00
001619,23.00
001620,18.00
001621,3.00
001622,2.00
001623,9.40
001624,7.40
001625,7.20
001626,5.00
001627,14.57
001628,15.88
001629,21.00
001630,8.64
001631,9.55
001632,11.17
001633,14.50
001634,6.75
001635,0.00
001636,0.00
001637,0.00
001638,5.00
001639,3.00
001640,10.40
001641,7.75
001642,14.92
001643,8.00
001644,5.14
001645,7.06
001646,9.33
001647,8.62
001648,10.44
001649,8.29
001650,8.00
001651,7.00
001652,8.33
001653,12.33
001654,7.94
001655,10.33
001656,15.45
001657,7.60
001658,7.00
001659,2.67
001660,18.00
001661,0.00
001662,0.00
001663,4.00
001664,26.80
001665,5.00
001666,5.62
001667,12.30
001668,4.70
001669,17.80
001670,9.75
001671,3.12
001672,4.67
001673,10.33
001674,7.40
001675,12.33
001676,29.17
001677,5.64
001678,8.20
001679,9.11
001680,22.00
001681,15.00
001682,3.00
001683,0.00
001684,0.00
001685,0.00
001686,0.00
001687,0.00
001688,13.00
001689,7.00
001690,10.62
001691,4.89
001692,12.64
001693,2.83
001694,5.09
001695,7.86
001696,3.00
001697,9.33
001698,11.12
001699,1.60
001700,9.53
001701,6.10
001702,8.67
001703,5.17
001704,23.33
001705,12.00
001706,4.00
001707,2.60
001708,1.00
001709,0.00
001710,0.00
001711,1.00
001712,4.00
001713,1.50
001714,2.25
001715,14.00
001716,1.00
001717,4.60
001718,12.00
001719,12.50
001720,2.33
001721,4.67
001722,3.00
001723,4.33
001724,8.25
001725,9.60
001726,6.00
001727,8.00
001728,2.00
001729,11.00
001730,0.00
001731,0.00
001732,0.00
001733,0.00
001734,0.00
001735,5.00
001736,7.33
001737,2.00
001738,3.00
001739,8.67
001740,3.80
001741,5.00
001742,0.00
001743,4.00
001744,2.60
001745,3.00
001746,0.00
001747,7.00
001748,10.50
001749,4.00
001750,15.00
001751,8.00
001752,2.67
001753,3.00
001754,0.00
001755,0.00
001756,1.00
001757,0.00
001758,5.00
001759,0.00
001760,3.00
001761,16.00
001762,0.00
001763,0.00
001764,15.67
001765,0.00
001766,9.50
001767,17.00
001768,4.33
001769,1.50
001770,4.00
001771,1.00
001772,6.50
001773,8.00
001774,1.00
001775,18.75
001776,4.33
001777,0.00
001778,0.00
001779,0.00
001780,0.00
001781,0.00
001782,0.00
001783,1.00
001784,0.00
001785,3.00
001786,0.00
001787,6.50
001788,0.00
001789,20.50
001790,8.75
001791,9.00
001792,25.00
001793,5.33
001794,0.00
001795,2.00
001796,50.00
001797,3.40
001798,2.60
001799,8.50
001800,1.00
001801,1.00
001802,0.00
001803,0.00
001804,0.00
001805,0.00
001806,0.00
001807,0.00
001808,4.00
001809,4.00
001810,3.00
001811,1.50
001812,6.50
001813,1.50
001814,1.00
001815,11.50
001816,1.00
001817,2.00
001818,1.67
001819,3.67
001820,8.50
001821,13.17
001822,3.33
001823,1.00
001824,3.33
001825,3.00
001826,0.00
001827,0.00
001828,0.00
001829,0.00
001830,0.00
001831,0.00
001832,0.00
001833,1.00
001834,12.67
001835,5.71
001836,8.00
001837,3.67
001838,1.00
001839,1.00
001840,16.00
001841,1.67
001842,10.00
001843,4.33
001844,10.25
001845,7.70
001846,6.75
001847,1.00
001848,10.78
001849,19.33
001850,1.00
001851,1.00
001852,1.00
001853,2.00
001854,1.00
001855,0.00
001856,1.00
001857,5.33
001858,4.33
001859,7.50
001860,22.00
001861,14.50
001862,1.00
001863,0.00
001864,1.00
001865,1.67
001866,15.00
001867,1.00
001868,11.50
001869,6.60
001870,5.00
001871,2.57
001872,1.40
001873,6.00
001874,0.00
001875,0.00
001876,0.00
001877,0.00
001878,0.00
001879,0.00
001880,2.00
001881,0.00
001882,0.00
001883,0.00
001884,1.00
001885,0.00
001886,0.00
001887,6.00
001888,0.00
001889,2.00
001890,11.33
001891,11.00
001892,43.00
001893,2.00
001894,0.00
001895,1.00
001896,2.17
001897,3.67
001898,0.00
001899,1.00
001900,0.00
001901,0.00
001902,0.00
001903,0.00
001904,1.00
001905,1.00
001906,1.00
001907,8.00
001908,7.00
001909,1.00
001910,0.00
001911,0.00
001912,1.00
001913,2.00
001914,3.50
001915,1.00
001916,1.00
001917,0.00
001918,1.00
001919,0.00
001920,0.00
001921,0.00
001922,1.00
001923,1.00
001924,2.00
001925,0.00
001926,0.00
001927,0.00
001928,1.00
001929,0.00
001930,0.00
001931,0.00
001932,0.00
001933,0.00
001934,0.00
001935,0.00
001936,1.00
001937,0.00
001938,0.00
001939,1.00
001940,11.67
001941,5.67
001942,2.50
001943,1.00
001944,1.00
001945,1.00
001946,1.00
001947,0.00
001948,0.00
001949,0.00
001950,0.00
001951,0.00
001952,0.00
001953,0.00
001954,0.00
001955,1.00
001956,0.00
001957,2.00
001958,0.00
001959,1.00
001960,1.00
001961,0.00
001962,0.00
001963,1.00
001964,1.00
001965,0.00
001966,1.33
001967,2.00
001968,1.00
001969,3.00
001970,1.00
001971,1.00
001972,0.00
001973,0.00
001974,1.00
001975,0.00
001976,4.00
001977,3.00
001978,3.00
001979,0.00
001980,5.00
