# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,跳出率
000209,0.00%
000210,0.00%
000211,0.00%
000212,0.00%
000213,0.00%
000214,0.00%
000215,0.00%
000216,0.00%
000217,0.00%
000218,0.00%
000219,0.00%
000220,0.00%
000221,0.00%
000222,0.00%
000223,0.00%
000224,0.00%
000225,0.00%
000226,0.00%
000227,0.00%
000228,0.00%
000229,0.00%
000230,0.00%
000231,0.00%
000232,0.00%
000233,0.00%
000234,0.00%
000235,0.00%
000236,0.00%
000237,0.00%
000238,0.00%
000239,0.00%
000240,0.00%
000241,0.00%
000242,0.00%
000243,0.00%
000244,0.00%
000245,0.00%
000246,0.00%
000247,0.00%
000248,0.00%
000249,0.00%
000250,0.00%
000251,0.00%
000252,0.00%
000253,0.00%
000254,0.00%
000255,0.00%
000256,0.00%
000257,0.00%
000258,0.00%
000259,0.00%
000260,0.00%
000261,0.00%
000262,0.00%
000263,0.00%
000264,0.00%
000265,0.00%
000266,0.00%
000267,0.00%
000268,0.00%
000269,0.00%
000270,0.00%
000271,0.00%
000272,0.00%
000273,0.00%
000274,0.00%
000275,0.00%
000276,0.00%
000277,0.00%
000278,0.00%
000279,0.00%
000280,0.00%
000281,0.00%
000282,0.00%
000283,0.00%
000284,0.00%
000285,0.00%
000286,0.00%
000287,0.00%
000288,0.00%
000289,0.00%
000290,0.00%
000291,0.00%
000292,0.00%
000293,0.00%
000294,0.00%
000295,0.00%
000296,0.00%
000297,0.00%
000298,0.00%
000299,0.00%
000300,0.00%
000301,0.00%
000302,0.00%
000303,0.00%
000304,0.00%
000305,0.00%
000306,0.00%
000307,0.00%
000308,0.00%
000309,0.00%
000310,0.00%
000311,0.00%
000312,0.00%
000313,0.00%
000314,0.00%
000315,0.00%
000316,0.00%
000317,0.00%
000318,0.00%
000319,0.00%
000320,0.00%
000321,0.00%
000322,0.00%
000323,0.00%
000324,0.00%
000325,0.00%
000326,0.00%
000327,0.00%
000328,0.00%
000329,0.00%
000330,0.00%
000331,0.00%
000332,0.00%
000333,0.00%
000334,0.00%
000335,0.00%
000336,0.00%
000337,0.00%
000338,0.00%
000339,0.00%
000340,0.00%
000341,0.00%
000342,0.00%
000343,0.00%
000344,0.00%
000345,0.00%
000346,0.00%
000347,0.00%
000348,0.00%
000349,0.00%
000350,0.00%
000351,0.00%
000352,0.00%
000353,0.00%
000354,0.00%
000355,0.00%
000356,0.00%
000357,0.00%
000358,0.00%
000359,0.00%
000360,0.00%
000361,0.00%
000362,0.00%
000363,0.00%
000364,0.00%
000365,0.00%
000366,0.00%
000367,0.00%
000368,0.00%
000369,0.00%
000370,0.00%
000371,0.00%
000372,0.00%
000373,0.00%
000374,0.00%
000375,0.00%
000376,0.00%
000377,0.00%
000378,0.00%
000379,0.00%
000380,0.00%
000381,0.00%
000382,0.00%
000383,0.00%
000384,0.00%
000385,0.00%
000386,0.00%
000387,0.00%
000388,0.00%
000389,0.00%
000390,0.00%
000391,0.00%
000392,0.00%
000393,0.00%
000394,0.00%
000395,0.00%
000396,0.00%
000397,0.00%
000398,0.00%
000399,0.00%
000400,0.00%
000401,0.00%
000402,0.00%
000403,0.00%
000404,0.00%
000405,0.00%
000406,0.00%
000407,0.00%
000408,0.00%
000409,0.00%
000410,0.00%
000411,0.00%
000412,0.00%
000413,0.00%
000414,0.00%
000415,0.00%
000416,0.00%
000417,0.00%
000418,0.00%
000419,0.00%
000420,0.00%
000421,0.00%
000422,0.00%
000423,0.00%
000424,0.00%
000425,0.00%
000426,0.00%
000427,0.00%
000428,0.00%
000429,0.00%
000430,0.00%
000431,0.00%
000432,0.00%
000433,0.00%
000434,0.00%
000435,0.00%
000436,0.00%
000437,0.00%
000438,0.00%
000439,0.00%
000440,0.00%
000441,0.00%
000442,0.00%
000443,0.00%
000444,0.00%
000445,0.00%
000446,0.00%
000447,0.00%
000448,0.00%
000449,0.00%
000450,0.00%
000451,0.00%
000452,0.00%
000453,0.00%
000454,0.00%
000455,0.00%
000456,0.00%
000457,0.00%
000458,0.00%
000459,0.00%
000460,0.00%
000461,0.00%
000462,0.00%
000463,0.00%
000464,0.00%
000465,0.00%
000466,0.00%
000467,0.00%
000468,0.00%
000469,0.00%
000470,0.00%
000471,0.00%
000472,0.00%
000473,0.00%
000474,0.00%
000475,0.00%
000476,0.00%
000477,0.00%
000478,0.00%
000479,0.00%
000480,0.00%
000481,0.00%
000482,0.00%
000483,0.00%
000484,0.00%
000485,0.00%
000486,0.00%
000487,0.00%
000488,0.00%
000489,0.00%
000490,0.00%
000491,0.00%
000492,0.00%
000493,0.00%
000494,0.00%
000495,0.00%
000496,0.00%
000497,0.00%
000498,0.00%
000499,0.00%
000500,0.00%
000501,0.00%
000502,0.00%
000503,0.00%
000504,0.00%
000505,0.00%
000506,0.00%
000507,0.00%
000508,0.00%
000509,0.00%
000510,0.00%
000511,0.00%
000512,0.00%
000513,0.00%
000514,0.00%
000515,0.00%
000516,0.00%
000517,0.00%
000518,0.00%
000519,0.00%
000520,0.00%
000521,0.00%
000522,0.00%
000523,0.00%
000524,0.00%
000525,0.00%
000526,0.00%
000527,0.00%
000528,0.00%
000529,0.00%
000530,0.00%
000531,0.00%
000532,0.00%
000533,0.00%
000534,0.00%
000535,0.00%
000536,0.00%
000537,0.00%
000538,0.00%
000539,0.00%
000540,0.00%
000541,0.00%
000542,0.00%
000543,0.00%
000544,0.00%
000545,0.00%
000546,0.00%
000547,0.00%
000548,0.00%
000549,0.00%
000550,0.00%
000551,0.00%
000552,0.00%
000553,0.00%
000554,0.00%
000555,0.00%
000556,0.00%
000557,0.00%
000558,0.00%
000559,0.00%
000560,0.00%
000561,0.00%
000562,0.00%
000563,0.00%
000564,0.00%
000565,0.00%
000566,0.00%
000567,0.00%
000568,0.00%
000569,0.00%
000570,0.00%
000571,0.00%
000572,0.00%
000573,0.00%
000574,0.00%
000575,0.00%
000576,0.00%
000577,0.00%
000578,0.00%
000579,0.00%
000580,0.00%
000581,0.00%
000582,0.00%
000583,0.00%
000584,0.00%
000585,0.00%
000586,0.00%
000587,0.00%
000588,0.00%
000589,0.00%
000590,0.00%
000591,0.00%
000592,0.00%
000593,0.00%
000594,0.00%
000595,0.00%
000596,0.00%
000597,0.00%
000598,0.00%
000599,0.00%
000600,0.00%
000601,0.00%
000602,0.00%
000603,0.00%
000604,0.00%
000605,0.00%
000606,0.00%
000607,0.00%
000608,0.00%
000609,0.00%
000610,0.00%
000611,0.00%
000612,0.00%
000613,0.00%
000614,0.00%
000615,0.00%
000616,0.00%
000617,0.00%
000618,0.00%
000619,0.00%
000620,0.00%
000621,0.00%
000622,0.00%
000623,0.00%
000624,0.00%
000625,0.00%
000626,0.00%
000627,0.00%
000628,0.00%
000629,0.00%
000630,0.00%
000631,0.00%
000632,0.00%
000633,0.00%
000634,0.00%
000635,0.00%
000636,0.00%
000637,0.00%
000638,0.00%
000639,0.00%
000640,0.00%
000641,0.00%
000642,0.00%
000643,0.00%
000644,0.00%
000645,0.00%
000646,0.00%
000647,0.00%
000648,0.00%
000649,0.00%
000650,0.00%
000651,0.00%
000652,0.00%
000653,0.00%
000654,0.00%
000655,0.00%
000656,0.00%
000657,0.00%
000658,0.00%
000659,0.00%
000660,0.00%
000661,0.00%
000662,0.00%
000663,0.00%
000664,0.00%
000665,0.00%
000666,0.00%
000667,0.00%
000668,0.00%
000669,0.00%
000670,0.00%
000671,0.00%
000672,0.00%
000673,0.00%
000674,0.00%
000675,0.00%
000676,0.00%
000677,0.00%
000678,0.00%
000679,0.00%
000680,0.00%
000681,0.00%
000682,0.00%
000683,0.00%
000684,0.00%
000685,0.00%
000686,0.00%
000687,0.00%
000688,0.00%
000689,0.00%
000690,0.00%
000691,0.00%
000692,0.00%
000693,0.00%
000694,0.00%
000695,0.00%
000696,0.00%
000697,0.00%
000698,0.00%
000699,0.00%
000700,0.00%
000701,0.00%
000702,0.00%
000703,0.00%
000704,0.00%
000705,0.00%
000706,0.00%
000707,0.00%
000708,0.00%
000709,0.00%
000710,0.00%
000711,0.00%
000712,0.00%
000713,0.00%
000714,0.00%
000715,0.00%
000716,0.00%
000717,0.00%
000718,0.00%
000719,0.00%
000720,0.00%
000721,0.00%
000722,0.00%
000723,0.00%
000724,0.00%
000725,0.00%
000726,0.00%
000727,0.00%
000728,0.00%
000729,0.00%
000730,0.00%
000731,0.00%
000732,0.00%
000733,0.00%
000734,0.00%
000735,0.00%
000736,0.00%
000737,0.00%
000738,0.00%
000739,0.00%
000740,0.00%
000741,0.00%
000742,0.00%
000743,0.00%
000744,0.00%
000745,0.00%
000746,0.00%
000747,0.00%
000748,0.00%
000749,0.00%
000750,0.00%
000751,0.00%
000752,0.00%
000753,0.00%
000754,0.00%
000755,0.00%
000756,0.00%
000757,0.00%
000758,0.00%
000759,0.00%
000760,0.00%
000761,0.00%
000762,0.00%
000763,0.00%
000764,0.00%
000765,0.00%
000766,0.00%
000767,0.00%
000768,0.00%
000769,10.00%
000770,23.08%
000771,40.00%
000772,100.00%
000773,100.00%
000774,25.00%
000775,0.00%
000776,25.00%
000777,0.00%
000778,22.22%
000779,11.11%
000780,18.75%
000781,31.58%
000782,0.00%
000783,15.79%
000784,20.00%
000785,21.21%
000786,20.00%
000787,13.33%
000788,22.92%
000789,17.09%
000790,10.42%
000791,16.36%
000792,17.50%
000793,15.15%
000794,30.77%
000795,18.18%
000796,0.00%
000797,0.00%
000798,0.00%
000799,9.09%
000800,17.95%
000801,14.71%
000802,14.04%
000803,9.68%
000804,17.39%
000805,16.67%
000806,10.71%
000807,16.00%
000808,15.00%
000809,18.75%
000810,15.79%
000811,6.67%
000812,33.33%
000813,10.00%
000814,38.89%
000815,18.18%
000816,5.00%
000817,25.00%
000818,0.00%
000819,50.00%
000820,0.00%
000821,0.00%
000822,0.00%
000823,0.00%
000824,22.22%
000825,33.33%
000826,9.09%
000827,11.11%
000828,17.86%
000829,8.70%
000830,36.36%
000831,14.29%
000832,16.67%
000833,17.65%
000834,40.00%
000835,45.45%
000836,18.18%
000837,14.29%
000838,46.15%
000839,18.18%
000840,30.77%
000841,0.00%
000842,16.67%
000843,50.00%
000844,100.00%
000845,0.00%
000846,0.00%
000847,0.00%
000848,42.86%
000849,9.52%
000850,16.67%
000851,7.14%
000852,23.53%
000853,23.53%
000854,27.27%
000855,38.89%
000856,22.22%
000857,26.67%
000858,10.00%
000859,41.67%
000860,25.00%
000861,25.00%
000862,27.27%
000863,33.33%
000864,16.67%
000865,60.00%
000866,0.00%
000867,0.00%
000868,0.00%
000869,50.00%
000870,50.00%
000871,28.57%
000872,12.50%
000873,15.38%
000874,9.09%
000875,16.67%
000876,8.33%
000877,10.00%
000878,26.67%
000879,18.75%
000880,31.25%
000881,11.11%
000882,50.00%
000883,21.43%
000884,17.65%
000885,36.84%
000886,14.29%
000887,33.33%
000888,0.00%
000889,0.00%
000890,100.00%
000891,0.00%
000892,100.00%
000893,0.00%
000894,0.00%
000895,100.00%
000896,0.00%
000897,100.00%
000898,50.00%
000899,25.00%
000900,33.33%
000901,0.00%
000902,0.00%
000903,33.33%
000904,0.00%
000905,0.00%
000906,0.00%
000907,25.00%
000908,30.00%
000909,0.00%
000910,8.33%
000911,12.50%
000912,0.00%
000913,66.67%
000914,0.00%
000915,0.00%
000916,0.00%
000917,0.00%
000918,0.00%
000919,0.00%
000920,50.00%
000921,0.00%
000922,33.33%
000923,14.29%
000924,0.00%
000925,14.29%
000926,25.00%
000927,0.00%
000928,0.00%
000929,0.00%
000930,40.00%
000931,20.00%
000932,16.67%
000933,25.00%
000934,0.00%
000935,27.27%
000936,33.33%
000937,0.00%
000938,0.00%
000939,0.00%
000940,0.00%
000941,0.00%
000942,0.00%
000943,0.00%
000944,100.00%
000945,50.00%
000946,0.00%
000947,50.00%
000948,50.00%
000949,0.00%
000950,0.00%
000951,33.33%
000952,33.33%
000953,0.00%
000954,0.00%
000955,100.00%
000956,25.00%
000957,16.67%
000958,100.00%
000959,66.67%
000960,0.00%
000961,33.33%
000962,0.00%
000963,0.00%
000964,100.00%
000965,0.00%
000966,0.00%
000967,0.00%
000968,0.00%
000969,0.00%
000970,100.00%
000971,0.00%
000972,33.33%
000973,100.00%
000974,0.00%
000975,14.29%
000976,20.00%
000977,66.67%
000978,33.33%
000979,100.00%
000980,0.00%
000981,100.00%
000982,100.00%
000983,33.33%
000984,100.00%
000985,25.00%
000986,100.00%
000987,0.00%
000988,100.00%
000989,100.00%
000990,0.00%
000991,100.00%
000992,100.00%
000993,0.00%
000994,0.00%
000995,66.67%
000996,0.00%
000997,0.00%
000998,0.00%
000999,100.00%
001000,0.00%
001001,100.00%
001002,100.00%
001003,100.00%
001004,50.00%
001005,0.00%
001006,100.00%
001007,0.00%
001008,50.00%
001009,0.00%
001010,0.00%
001011,100.00%
001012,100.00%
001013,0.00%
001014,0.00%
001015,0.00%
001016,50.00%
001017,25.00%
001018,50.00%
001019,0.00%
001020,50.00%
001021,66.67%
001022,0.00%
001023,0.00%
001024,57.14%
001025,23.53%
001026,18.75%
001027,37.50%
001028,8.33%
001029,10.00%
001030,11.11%
001031,18.52%
001032,5.00%
001033,0.00%
001034,50.00%
001035,0.00%
001036,0.00%
001037,0.00%
001038,0.00%
001039,0.00%
001040,33.33%
001041,0.00%
001042,6.67%
001043,0.00%
001044,8.33%
001045,7.69%
001046,10.00%
001047,14.29%
001048,14.29%
001049,42.86%
001050,0.00%
001051,0.00%
001052,28.57%
001053,27.27%
001054,33.33%
001055,16.67%
001056,11.11%
001057,0.00%
001058,0.00%
001059,0.00%
001060,0.00%
001061,0.00%
001062,0.00%
001063,0.00%
001064,0.00%
001065,0.00%
001066,50.00%
001067,0.00%
001068,0.00%
001069,33.33%
001070,0.00%
001071,33.33%
001072,33.33%
001073,33.33%
001074,0.00%
001075,25.00%
001076,0.00%
001077,33.33%
001078,50.00%
001079,28.57%
001080,100.00%
001081,0.00%
001082,0.00%
001083,0.00%
001084,0.00%
001085,0.00%
001086,0.00%
001087,0.00%
001088,0.00%
001089,0.00%
001090,0.00%
001091,40.00%
001092,0.00%
001093,25.00%
001094,25.00%
001095,28.57%
001096,0.00%
001097,33.33%
001098,100.00%
001099,0.00%
001100,50.00%
001101,80.00%
001102,33.33%
001103,0.00%
001104,0.00%
001105,100.00%
001106,0.00%
001107,0.00%
001108,0.00%
001109,0.00%
001110,0.00%
001111,0.00%
001112,0.00%
001113,0.00%
001114,50.00%
001115,33.33%
001116,0.00%
001117,0.00%
001118,100.00%
001119,0.00%
001120,100.00%
001121,0.00%
001122,100.00%
001123,100.00%
001124,0.00%
001125,0.00%
001126,0.00%
001127,42.86%
001128,0.00%
001129,100.00%
001130,0.00%
001131,100.00%
001132,0.00%
001133,100.00%
001134,0.00%
001135,0.00%
001136,0.00%
001137,0.00%
001138,0.00%
001139,50.00%
001140,0.00%
001141,0.00%
001142,100.00%
001143,0.00%
001144,0.00%
001145,100.00%
001146,0.00%
001147,0.00%
001148,0.00%
001149,50.00%
001150,0.00%
001151,100.00%
001152,0.00%
001153,0.00%
001154,0.00%
001155,0.00%
001156,0.00%
001157,0.00%
001158,0.00%
001159,0.00%
001160,0.00%
001161,0.00%
001162,0.00%
001163,0.00%
001164,0.00%
001165,100.00%
001166,66.67%
001167,0.00%
001168,0.00%
001169,60.00%
001170,100.00%
001171,0.00%
001172,33.33%
001173,66.67%
001174,50.00%
001175,0.00%
001176,0.00%
001177,0.00%
001178,33.33%
001179,0.00%
001180,0.00%
001181,0.00%
001182,0.00%
001183,0.00%
001184,0.00%
001185,0.00%
001186,0.00%
001187,100.00%
001188,0.00%
001189,0.00%
001190,0.00%
001191,100.00%
001192,100.00%
001193,0.00%
001194,0.00%
001195,100.00%
001196,100.00%
001197,0.00%
001198,66.67%
001199,0.00%
001200,0.00%
001201,100.00%
001202,0.00%
001203,0.00%
001204,0.00%
001205,0.00%
001206,100.00%
001207,0.00%
001208,100.00%
001209,50.00%
001210,0.00%
001211,100.00%
001212,0.00%
001213,100.00%
001214,50.00%
001215,0.00%
001216,100.00%
001217,100.00%
001218,0.00%
001219,100.00%
001220,0.00%
001221,66.67%
001222,0.00%
001223,50.00%
001224,80.00%
001225,0.00%
001226,100.00%
001227,0.00%
001228,100.00%
001229,0.00%
001230,0.00%
001231,0.00%
001232,0.00%
001233,100.00%
001234,0.00%
001235,50.00%
001236,0.00%
001237,0.00%
001238,0.00%
001239,0.00%
001240,33.33%
001241,0.00%
001242,0.00%
001243,0.00%
001244,0.00%
001245,25.00%
001246,0.00%
001247,0.00%
001248,50.00%
001249,50.00%
001250,0.00%
001251,0.00%
001252,0.00%
001253,0.00%
001254,0.00%
001255,0.00%
001256,0.00%
001257,0.00%
001258,0.00%
001259,100.00%
001260,100.00%
001261,0.00%
001262,50.00%
001263,0.00%
001264,0.00%
001265,0.00%
001266,0.00%
001267,0.00%
001268,0.00%
001269,0.00%
001270,0.00%
001271,100.00%
001272,0.00%
001273,100.00%
001274,0.00%
001275,0.00%
001276,0.00%
001277,0.00%
001278,0.00%
001279,0.00%
001280,0.00%
001281,0.00%
001282,100.00%
001283,0.00%
001284,0.00%
001285,0.00%
001286,33.33%
001287,0.00%
001288,0.00%
001289,0.00%
001290,0.00%
001291,0.00%
001292,0.00%
001293,100.00%
001294,66.67%
001295,11.29%
001296,14.42%
001297,30.00%
001298,9.09%
001299,28.57%
001300,0.00%
001301,0.00%
001302,0.00%
001303,50.00%
001304,23.08%
001305,20.83%
001306,31.82%
001307,31.58%
001308,29.41%
001309,31.25%
001310,14.29%
001311,20.00%
001312,37.50%
001313,0.00%
001314,16.67%
001315,22.22%
001316,22.22%
001317,18.18%
001318,40.00%
001319,33.33%
001320,7.14%
001321,50.00%
001322,33.33%
001323,0.00%
001324,0.00%
001325,0.00%
001326,0.00%
001327,0.00%
001328,0.00%
001329,100.00%
001330,33.33%
001331,100.00%
001332,60.00%
001333,33.33%
001334,100.00%
001335,75.00%
001336,100.00%
001337,0.00%
001338,0.00%
001339,0.00%
001340,0.00%
001341,0.00%
001342,25.00%
001343,100.00%
001344,100.00%
001345,0.00%
001346,0.00%
001347,0.00%
001348,0.00%
001349,0.00%
001350,0.00%
001351,0.00%
001352,0.00%
001353,0.00%
001354,0.00%
001355,0.00%
001356,0.00%
001357,0.00%
001358,0.00%
001359,0.00%
001360,50.00%
001361,0.00%
001362,0.00%
001363,100.00%
001364,100.00%
001365,0.00%
001366,0.00%
001367,50.00%
001368,50.00%
001369,0.00%
001370,0.00%
001371,100.00%
001372,100.00%
001373,0.00%
001374,0.00%
001375,0.00%
001376,0.00%
001377,0.00%
001378,0.00%
001379,0.00%
001380,0.00%
001381,0.00%
001382,0.00%
001383,0.00%
001384,0.00%
001385,0.00%
001386,50.00%
001387,0.00%
001388,50.00%
001389,0.00%
001390,50.00%
001391,0.00%
001392,50.00%
001393,0.00%
001394,0.00%
001395,0.00%
001396,0.00%
001397,0.00%
001398,0.00%
001399,0.00%
001400,0.00%
001401,0.00%
001402,0.00%
001403,0.00%
001404,0.00%
001405,0.00%
001406,0.00%
001407,0.00%
001408,100.00%
001409,0.00%
001410,0.00%
001411,0.00%
001412,33.33%
001413,50.00%
001414,0.00%
001415,50.00%
001416,0.00%
001417,0.00%
001418,0.00%
001419,0.00%
001420,0.00%
001421,0.00%
001422,0.00%
001423,0.00%
001424,0.00%
001425,0.00%
001426,0.00%
001427,0.00%
001428,50.00%
001429,100.00%
001430,0.00%
001431,0.00%
001432,0.00%
001433,50.00%
001434,0.00%
001435,0.00%
001436,0.00%
001437,62.50%
001438,50.00%
001439,0.00%
001440,66.67%
001441,33.33%
001442,0.00%
001443,0.00%
001444,0.00%
001445,0.00%
001446,0.00%
001447,0.00%
001448,100.00%
001449,0.00%
001450,0.00%
001451,40.00%
001452,0.00%
001453,33.33%
001454,100.00%
001455,100.00%
001456,0.00%
001457,33.33%
001458,40.00%
001459,0.00%
001460,0.00%
001461,33.33%
001462,50.00%
001463,0.00%
001464,0.00%
001465,0.00%
001466,0.00%
001467,0.00%
001468,0.00%
001469,0.00%
001470,0.00%
001471,0.00%
001472,0.00%
001473,0.00%
001474,0.00%
001475,16.67%
001476,33.33%
001477,50.00%
001478,50.00%
001479,0.00%
001480,20.00%
001481,27.27%
001482,0.00%
001483,0.00%
001484,30.00%
001485,33.33%
001486,37.50%
001487,42.86%
001488,0.00%
001489,22.22%
001490,0.00%
001491,100.00%
001492,0.00%
001493,0.00%
001494,0.00%
001495,0.00%
001496,20.00%
001497,100.00%
001498,9.09%
001499,12.50%
001500,33.33%
001501,100.00%
001502,25.00%
001503,33.33%
001504,30.77%
001505,33.33%
001506,14.29%
001507,18.18%
001508,19.05%
001509,5.88%
001510,21.43%
001511,25.71%
001512,18.52%
001513,25.00%
001514,0.00%
001515,100.00%
001516,0.00%
001517,0.00%
001518,0.00%
001519,12.12%
001520,15.15%
001521,25.93%
001522,8.33%
001523,40.00%
001524,19.05%
001525,30.77%
001526,0.00%
001527,13.04%
001528,40.00%
001529,31.58%
001530,27.27%
001531,16.67%
001532,16.67%
001533,27.78%
001534,21.43%
001535,23.33%
001536,25.00%
001537,0.00%
001538,0.00%
001539,0.00%
001540,0.00%
001541,0.00%
001542,0.00%
001543,16.67%
001544,60.00%
001545,0.00%
001546,60.00%
001547,0.00%
001548,0.00%
001549,27.27%
001550,15.38%
001551,20.00%
001552,16.67%
001553,50.00%
001554,14.29%
001555,0.00%
001556,10.00%
001557,37.50%
001558,33.33%
001559,0.00%
001560,50.00%
001561,60.00%
001562,0.00%
001563,0.00%
001564,0.00%
001565,0.00%
001566,0.00%
001567,0.00%
001568,0.00%
001569,50.00%
001570,20.00%
001571,40.00%
001572,50.00%
001573,25.00%
001574,28.57%
001575,30.00%
001576,0.00%
001577,0.00%
001578,33.33%
001579,100.00%
001580,20.00%
001581,0.00%
001582,75.00%
001583,33.33%
001584,16.67%
001585,40.00%
001586,0.00%
001587,0.00%
001588,100.00%
001589,0.00%
001590,0.00%
001591,100.00%
001592,0.00%
001593,0.00%
001594,0.00%
001595,50.00%
001596,0.00%
001597,0.00%
001598,25.00%
001599,66.67%
001600,83.33%
001601,66.67%
001602,50.00%
001603,0.00%
001604,0.00%
001605,100.00%
001606,66.67%
001607,33.33%
001608,20.00%
001609,0.00%
001610,0.00%
001611,0.00%
001612,0.00%
001613,0.00%
001614,0.00%
001615,0.00%
001616,0.00%
001617,0.00%
001618,0.00%
001619,0.00%
001620,0.00%
001621,50.00%
001622,33.33%
001623,20.00%
001624,20.00%
001625,40.00%
001626,25.00%
001627,14.29%
001628,25.00%
001629,25.00%
001630,14.29%
001631,9.09%
001632,16.67%
001633,12.50%
001634,25.00%
001635,0.00%
001636,0.00%
001637,0.00%
001638,50.00%
001639,0.00%
001640,0.00%
001641,25.00%
001642,0.00%
001643,9.09%
001644,42.86%
001645,23.53%
001646,26.67%
001647,0.00%
001648,22.22%
001649,42.86%
001650,20.00%
001651,25.00%
001652,26.67%
001653,33.33%
001654,23.53%
001655,22.22%
001656,9.09%
001657,0.00%
001658,25.00%
001659,33.33%
001660,0.00%
001661,0.00%
001662,0.00%
001663,0.00%
001664,40.00%
001665,22.22%
001666,12.50%
001667,50.00%
001668,30.00%
001669,0.00%
001670,25.00%
001671,37.50%
001672,33.33%
001673,16.67%
001674,20.00%
001675,0.00%
001676,16.67%
001677,9.09%
001678,20.00%
001679,22.22%
001680,25.00%
001681,0.00%
001682,0.00%
001683,0.00%
001684,0.00%
001685,0.00%
001686,0.00%
001687,0.00%
001688,25.00%
001689,14.29%
001690,25.00%
001691,44.44%
001692,42.86%
001693,83.33%
001694,36.36%
001695,14.29%
001696,50.00%
001697,33.33%
001698,37.50%
001699,80.00%
001700,17.65%
001701,20.00%
001702,16.67%
001703,50.00%
001704,16.67%
001705,0.00%
001706,0.00%
001707,60.00%
001708,100.00%
001709,0.00%
001710,0.00%
001711,100.00%
001712,0.00%
001713,100.00%
001714,25.00%
001715,0.00%
001716,100.00%
001717,20.00%
001718,25.00%
001719,0.00%
001720,66.67%
001721,16.67%
001722,100.00%
001723,33.33%
001724,25.00%
001725,30.00%
001726,80.00%
001727,50.00%
001728,0.00%
001729,0.00%
001730,0.00%
001731,0.00%
001732,0.00%
001733,0.00%
001734,0.00%
