# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,% 新工作階段
000208,0.00%
000209,0.00%
000210,0.00%
000211,0.00%
000212,0.00%
000213,0.00%
000214,0.00%
000215,0.00%
000216,0.00%
000217,0.00%
000218,0.00%
000219,0.00%
000220,0.00%
000221,0.00%
000222,0.00%
000223,0.00%
000224,0.00%
000225,0.00%
000226,0.00%
000227,0.00%
000228,0.00%
000229,0.00%
000230,0.00%
000231,0.00%
000232,0.00%
000233,0.00%
000234,0.00%
000235,0.00%
000236,0.00%
000237,0.00%
000238,0.00%
000239,0.00%
000240,0.00%
000241,0.00%
000242,0.00%
000243,0.00%
000244,0.00%
000245,0.00%
000246,0.00%
000247,0.00%
000248,0.00%
000249,0.00%
000250,0.00%
000251,0.00%
000252,0.00%
000253,0.00%
000254,0.00%
000255,0.00%
000256,0.00%
000257,0.00%
000258,0.00%
000259,0.00%
000260,0.00%
000261,0.00%
000262,0.00%
000263,0.00%
000264,0.00%
000265,0.00%
000266,0.00%
000267,0.00%
000268,0.00%
000269,0.00%
000270,0.00%
000271,0.00%
000272,0.00%
000273,0.00%
000274,0.00%
000275,0.00%
000276,0.00%
000277,0.00%
000278,0.00%
000279,0.00%
000280,0.00%
000281,0.00%
000282,0.00%
000283,0.00%
000284,0.00%
000285,0.00%
000286,0.00%
000287,0.00%
000288,0.00%
000289,0.00%
000290,0.00%
000291,0.00%
000292,0.00%
000293,0.00%
000294,0.00%
000295,0.00%
000296,0.00%
000297,0.00%
000298,0.00%
000299,0.00%
000300,0.00%
000301,0.00%
000302,0.00%
000303,0.00%
000304,0.00%
000305,0.00%
000306,0.00%
000307,0.00%
000308,0.00%
000309,0.00%
000310,0.00%
000311,0.00%
000312,0.00%
000313,0.00%
000314,0.00%
000315,0.00%
000316,0.00%
000317,0.00%
000318,0.00%
000319,0.00%
000320,0.00%
000321,0.00%
000322,0.00%
000323,0.00%
000324,0.00%
000325,0.00%
000326,0.00%
000327,0.00%
000328,0.00%
000329,0.00%
000330,0.00%
000331,0.00%
000332,0.00%
000333,0.00%
000334,0.00%
000335,0.00%
000336,0.00%
000337,0.00%
000338,0.00%
000339,0.00%
000340,0.00%
000341,0.00%
000342,0.00%
000343,0.00%
000344,0.00%
000345,0.00%
000346,0.00%
000347,0.00%
000348,0.00%
000349,0.00%
000350,0.00%
000351,0.00%
000352,0.00%
000353,0.00%
000354,0.00%
000355,0.00%
000356,0.00%
000357,0.00%
000358,0.00%
000359,0.00%
000360,0.00%
000361,0.00%
000362,0.00%
000363,0.00%
000364,0.00%
000365,0.00%
000366,0.00%
000367,0.00%
000368,0.00%
000369,0.00%
000370,0.00%
000371,0.00%
000372,0.00%
000373,0.00%
000374,0.00%
000375,0.00%
000376,0.00%
000377,0.00%
000378,0.00%
000379,0.00%
000380,0.00%
000381,0.00%
000382,0.00%
000383,0.00%
000384,0.00%
000385,0.00%
000386,0.00%
000387,0.00%
000388,0.00%
000389,0.00%
000390,0.00%
000391,0.00%
000392,0.00%
000393,0.00%
000394,0.00%
000395,0.00%
000396,0.00%
000397,0.00%
000398,0.00%
000399,0.00%
000400,0.00%
000401,0.00%
000402,0.00%
000403,0.00%
000404,0.00%
000405,0.00%
000406,0.00%
000407,0.00%
000408,0.00%
000409,0.00%
000410,0.00%
000411,0.00%
000412,0.00%
000413,0.00%
000414,0.00%
000415,0.00%
000416,0.00%
000417,0.00%
000418,0.00%
000419,0.00%
000420,0.00%
000421,0.00%
000422,0.00%
000423,0.00%
000424,0.00%
000425,0.00%
000426,0.00%
000427,0.00%
000428,0.00%
000429,0.00%
000430,0.00%
000431,0.00%
000432,0.00%
000433,0.00%
000434,0.00%
000435,0.00%
000436,0.00%
000437,0.00%
000438,0.00%
000439,0.00%
000440,0.00%
000441,0.00%
000442,0.00%
000443,0.00%
000444,0.00%
000445,0.00%
000446,0.00%
000447,0.00%
000448,0.00%
000449,0.00%
000450,0.00%
000451,0.00%
000452,0.00%
000453,0.00%
000454,0.00%
000455,0.00%
000456,0.00%
000457,0.00%
000458,0.00%
000459,0.00%
000460,0.00%
000461,0.00%
000462,0.00%
000463,0.00%
000464,0.00%
000465,0.00%
000466,0.00%
000467,0.00%
000468,0.00%
000469,0.00%
000470,0.00%
000471,0.00%
000472,0.00%
000473,0.00%
000474,0.00%
000475,0.00%
000476,0.00%
000477,0.00%
000478,0.00%
000479,0.00%
000480,0.00%
000481,0.00%
000482,0.00%
000483,0.00%
000484,0.00%
000485,0.00%
000486,0.00%
000487,0.00%
000488,0.00%
000489,0.00%
000490,0.00%
000491,0.00%
000492,0.00%
000493,0.00%
000494,0.00%
000495,0.00%
000496,0.00%
000497,0.00%
000498,0.00%
000499,0.00%
000500,0.00%
000501,0.00%
000502,0.00%
000503,0.00%
000504,0.00%
000505,0.00%
000506,0.00%
000507,0.00%
000508,0.00%
000509,0.00%
000510,0.00%
000511,0.00%
000512,0.00%
000513,0.00%
000514,0.00%
000515,0.00%
000516,0.00%
000517,0.00%
000518,0.00%
000519,0.00%
000520,0.00%
000521,0.00%
000522,0.00%
000523,0.00%
000524,0.00%
000525,0.00%
000526,0.00%
000527,0.00%
000528,0.00%
000529,0.00%
000530,0.00%
000531,0.00%
000532,0.00%
000533,0.00%
000534,0.00%
000535,0.00%
000536,0.00%
000537,0.00%
000538,0.00%
000539,0.00%
000540,0.00%
000541,0.00%
000542,0.00%
000543,0.00%
000544,0.00%
000545,0.00%
000546,0.00%
000547,0.00%
000548,0.00%
000549,0.00%
000550,0.00%
000551,0.00%
000552,0.00%
000553,0.00%
000554,0.00%
000555,0.00%
000556,0.00%
000557,0.00%
000558,0.00%
000559,0.00%
000560,0.00%
000561,0.00%
000562,0.00%
000563,0.00%
000564,0.00%
000565,0.00%
000566,0.00%
000567,0.00%
000568,0.00%
000569,0.00%
000570,0.00%
000571,0.00%
000572,0.00%
000573,0.00%
000574,0.00%
000575,0.00%
000576,0.00%
000577,0.00%
000578,0.00%
000579,0.00%
000580,0.00%
000581,0.00%
000582,0.00%
000583,0.00%
000584,0.00%
000585,0.00%
000586,0.00%
000587,0.00%
000588,0.00%
000589,0.00%
000590,0.00%
000591,0.00%
000592,0.00%
000593,0.00%
000594,0.00%
000595,0.00%
000596,0.00%
000597,0.00%
000598,0.00%
000599,0.00%
000600,0.00%
000601,0.00%
000602,0.00%
000603,0.00%
000604,0.00%
000605,0.00%
000606,0.00%
000607,0.00%
000608,0.00%
000609,0.00%
000610,0.00%
000611,0.00%
000612,0.00%
000613,0.00%
000614,0.00%
000615,0.00%
000616,0.00%
000617,0.00%
000618,0.00%
000619,0.00%
000620,0.00%
000621,0.00%
000622,0.00%
000623,0.00%
000624,0.00%
000625,0.00%
000626,0.00%
000627,0.00%
000628,0.00%
000629,0.00%
000630,0.00%
000631,0.00%
000632,0.00%
000633,0.00%
000634,0.00%
000635,0.00%
000636,0.00%
000637,0.00%
000638,0.00%
000639,0.00%
000640,0.00%
000641,0.00%
000642,0.00%
000643,0.00%
000644,0.00%
000645,0.00%
000646,0.00%
000647,0.00%
000648,0.00%
000649,0.00%
000650,0.00%
000651,0.00%
000652,0.00%
000653,0.00%
000654,0.00%
000655,0.00%
000656,0.00%
000657,0.00%
000658,0.00%
000659,0.00%
000660,0.00%
000661,0.00%
000662,0.00%
000663,0.00%
000664,0.00%
000665,0.00%
000666,0.00%
000667,0.00%
000668,0.00%
000669,0.00%
000670,0.00%
000671,0.00%
000672,0.00%
000673,0.00%
000674,0.00%
000675,0.00%
000676,0.00%
000677,0.00%
000678,0.00%
000679,0.00%
000680,0.00%
000681,0.00%
000682,0.00%
000683,0.00%
000684,0.00%
000685,0.00%
000686,0.00%
000687,0.00%
000688,0.00%
000689,0.00%
000690,0.00%
000691,0.00%
000692,0.00%
000693,0.00%
000694,0.00%
000695,0.00%
000696,0.00%
000697,0.00%
000698,0.00%
000699,0.00%
000700,0.00%
000701,0.00%
000702,0.00%
000703,0.00%
000704,0.00%
000705,0.00%
000706,0.00%
000707,0.00%
000708,0.00%
000709,0.00%
000710,0.00%
000711,0.00%
000712,0.00%
000713,0.00%
000714,0.00%
000715,0.00%
000716,0.00%
000717,0.00%
000718,0.00%
000719,0.00%
000720,0.00%
000721,0.00%
000722,0.00%
000723,0.00%
000724,0.00%
000725,0.00%
000726,0.00%
000727,0.00%
000728,0.00%
000729,0.00%
000730,0.00%
000731,0.00%
000732,0.00%
000733,0.00%
000734,0.00%
000735,0.00%
000736,0.00%
000737,0.00%
000738,0.00%
000739,0.00%
000740,0.00%
000741,0.00%
000742,0.00%
000743,0.00%
000744,0.00%
000745,0.00%
000746,0.00%
000747,0.00%
000748,0.00%
000749,0.00%
000750,0.00%
000751,0.00%
000752,0.00%
000753,0.00%
000754,0.00%
000755,0.00%
000756,0.00%
000757,0.00%
000758,0.00%
000759,0.00%
000760,0.00%
000761,0.00%
000762,0.00%
000763,0.00%
000764,0.00%
000765,0.00%
000766,0.00%
000767,0.00%
000768,0.00%
000769,100.00%
000770,100.00%
000771,80.00%
000772,100.00%
000773,100.00%
000774,100.00%
000775,100.00%
000776,100.00%
000777,100.00%
000778,77.78%
000779,100.00%
000780,87.50%
000781,89.47%
000782,90.48%
000783,84.21%
000784,85.00%
000785,78.79%
000786,87.50%
000787,63.33%
000788,72.92%
000789,80.34%
000790,84.03%
000791,77.27%
000792,80.00%
000793,75.76%
000794,53.85%
000795,54.55%
000796,33.33%
000797,0.00%
000798,50.00%
000799,66.67%
000800,66.67%
000801,58.82%
000802,75.44%
000803,48.39%
000804,82.61%
000805,54.17%
000806,67.86%
000807,36.00%
000808,70.00%
000809,31.25%
000810,57.89%
000811,73.33%
000812,61.11%
000813,70.00%
000814,55.56%
000815,54.55%
000816,55.00%
000817,50.00%
000818,100.00%
000819,100.00%
000820,0.00%
000821,0.00%
000822,0.00%
000823,0.00%
000824,100.00%
000825,33.33%
000826,54.55%
000827,66.67%
000828,71.43%
000829,65.22%
000830,27.27%
000831,50.00%
000832,44.44%
000833,41.18%
000834,50.00%
000835,36.36%
000836,54.55%
000837,57.14%
000838,53.85%
000839,54.55%
000840,65.38%
000841,57.14%
000842,83.33%
000843,75.00%
000844,0.00%
000845,0.00%
000846,100.00%
000847,0.00%
000848,57.14%
000849,76.19%
000850,83.33%
000851,78.57%
000852,70.59%
000853,70.59%
000854,27.27%
000855,44.44%
000856,44.44%
000857,40.00%
000858,20.00%
000859,58.33%
000860,62.50%
000861,62.50%
000862,36.36%
000863,50.00%
000864,75.00%
000865,40.00%
000866,100.00%
000867,100.00%
000868,100.00%
000869,50.00%
000870,0.00%
000871,71.43%
000872,62.50%
000873,69.23%
000874,72.73%
000875,58.33%
000876,41.67%
000877,60.00%
000878,53.33%
000879,81.25%
000880,56.25%
000881,33.33%
000882,33.33%
000883,71.43%
000884,47.06%
000885,42.11%
000886,71.43%
000887,50.00%
000888,100.00%
000889,100.00%
000890,0.00%
000891,0.00%
000892,0.00%
000893,0.00%
000894,0.00%
000895,0.00%
000896,0.00%
000897,100.00%
000898,100.00%
000899,75.00%
000900,100.00%
000901,0.00%
000902,0.00%
000903,33.33%
000904,100.00%
000905,0.00%
000906,66.67%
000907,25.00%
000908,90.00%
000909,40.00%
000910,66.67%
000911,87.50%
000912,100.00%
000913,33.33%
000914,50.00%
000915,0.00%
000916,0.00%
000917,0.00%
000918,0.00%
000919,100.00%
000920,50.00%
000921,100.00%
000922,66.67%
000923,85.71%
000924,0.00%
000925,71.43%
000926,25.00%
000927,0.00%
000928,66.67%
000929,0.00%
000930,60.00%
000931,40.00%
000932,66.67%
000933,25.00%
000934,100.00%
000935,72.73%
000936,66.67%
000937,100.00%
000938,0.00%
000939,0.00%
000940,100.00%
000941,0.00%
000942,0.00%
000943,0.00%
000944,100.00%
000945,50.00%
000946,0.00%
000947,50.00%
000948,50.00%
000949,100.00%
000950,0.00%
000951,33.33%
000952,0.00%
000953,75.00%
000954,50.00%
000955,0.00%
000956,75.00%
000957,66.67%
000958,66.67%
000959,33.33%
000960,0.00%
000961,33.33%
000962,0.00%
000963,0.00%
000964,0.00%
000965,0.00%
000966,0.00%
000967,0.00%
000968,0.00%
000969,0.00%
000970,0.00%
000971,0.00%
000972,33.33%
000973,0.00%
000974,0.00%
000975,71.43%
000976,80.00%
000977,100.00%
000978,33.33%
000979,50.00%
000980,100.00%
000981,50.00%
000982,0.00%
000983,33.33%
000984,0.00%
000985,50.00%
000986,0.00%
000987,0.00%
000988,0.00%
000989,0.00%
000990,0.00%
000991,0.00%
000992,0.00%
000993,50.00%
000994,100.00%
000995,33.33%
000996,100.00%
000997,100.00%
000998,50.00%
000999,0.00%
001000,0.00%
001001,0.00%
001002,0.00%
001003,0.00%
001004,0.00%
001005,0.00%
001006,66.67%
001007,50.00%
001008,100.00%
001009,0.00%
001010,0.00%
001011,0.00%
001012,0.00%
001013,0.00%
001014,0.00%
001015,0.00%
001016,100.00%
001017,100.00%
001018,100.00%
001019,100.00%
001020,50.00%
001021,0.00%
001022,60.00%
001023,66.67%
001024,71.43%
001025,58.82%
001026,56.25%
001027,50.00%
001028,58.33%
001029,80.00%
001030,55.56%
001031,48.15%
001032,60.00%
001033,75.00%
001034,50.00%
001035,0.00%
001036,0.00%
001037,0.00%
001038,0.00%
001039,60.00%
001040,66.67%
001041,71.43%
001042,66.67%
001043,40.00%
001044,33.33%
001045,53.85%
001046,70.00%
001047,71.43%
001048,71.43%
001049,42.86%
001050,75.00%
001051,57.14%
001052,71.43%
001053,72.73%
001054,50.00%
001055,83.33%
001056,66.67%
001057,40.00%
001058,0.00%
001059,0.00%
001060,0.00%
001061,100.00%
001062,0.00%
001063,100.00%
001064,50.00%
001065,100.00%
001066,100.00%
001067,33.33%
001068,50.00%
001069,66.67%
001070,100.00%
001071,0.00%
001072,33.33%
001073,66.67%
001074,66.67%
001075,50.00%
001076,75.00%
001077,33.33%
001078,50.00%
001079,42.86%
001080,0.00%
001081,0.00%
001082,0.00%
001083,0.00%
001084,0.00%
001085,0.00%
001086,0.00%
001087,0.00%
001088,0.00%
001089,100.00%
001090,33.33%
001091,60.00%
001092,100.00%
001093,50.00%
001094,50.00%
001095,28.57%
001096,75.00%
001097,66.67%
001098,50.00%
001099,66.67%
001100,75.00%
001101,40.00%
001102,0.00%
001103,0.00%
001104,0.00%
001105,0.00%
001106,100.00%
001107,0.00%
001108,0.00%
001109,0.00%
001110,0.00%
001111,0.00%
001112,0.00%
001113,0.00%
001114,50.00%
001115,33.33%
001116,50.00%
001117,50.00%
001118,0.00%
001119,0.00%
001120,0.00%
001121,0.00%
001122,0.00%
001123,100.00%
001124,0.00%
001125,0.00%
001126,0.00%
001127,28.57%
001128,0.00%
001129,0.00%
001130,0.00%
001131,0.00%
001132,0.00%
001133,0.00%
001134,0.00%
001135,0.00%
001136,0.00%
001137,0.00%
001138,0.00%
001139,50.00%
001140,0.00%
001141,0.00%
001142,100.00%
001143,0.00%
001144,50.00%
001145,0.00%
001146,0.00%
001147,100.00%
001148,0.00%
001149,25.00%
001150,0.00%
001151,100.00%
001152,0.00%
001153,0.00%
001154,0.00%
001155,0.00%
001156,0.00%
001157,0.00%
001158,100.00%
001159,0.00%
001160,0.00%
001161,0.00%
001162,100.00%
001163,0.00%
001164,0.00%
001165,0.00%
001166,33.33%
001167,0.00%
001168,50.00%
001169,100.00%
001170,100.00%
001171,100.00%
001172,66.67%
001173,0.00%
001174,0.00%
001175,100.00%
001176,0.00%
001177,0.00%
001178,0.00%
001179,0.00%
001180,0.00%
001181,0.00%
001182,0.00%
001183,0.00%
001184,0.00%
001185,0.00%
001186,0.00%
001187,0.00%
001188,0.00%
001189,0.00%
001190,100.00%
001191,100.00%
001192,100.00%
001193,100.00%
001194,0.00%
001195,100.00%
001196,0.00%
001197,100.00%
001198,33.33%
001199,0.00%
001200,0.00%
001201,0.00%
001202,0.00%
001203,0.00%
001204,0.00%
001205,0.00%
001206,0.00%
001207,0.00%
001208,50.00%
001209,50.00%
001210,0.00%
001211,0.00%
001212,0.00%
001213,0.00%
001214,0.00%
001215,0.00%
001216,0.00%
001217,0.00%
001218,0.00%
001219,0.00%
001220,100.00%
001221,0.00%
001222,0.00%
001223,25.00%
001224,40.00%
001225,0.00%
001226,0.00%
001227,0.00%
001228,0.00%
001229,0.00%
001230,0.00%
001231,0.00%
001232,0.00%
001233,100.00%
001234,100.00%
001235,50.00%
001236,0.00%
001237,0.00%
001238,100.00%
001239,0.00%
001240,33.33%
001241,0.00%
001242,33.33%
001243,0.00%
001244,33.33%
001245,25.00%
001246,0.00%
001247,0.00%
001248,0.00%
001249,100.00%
001250,0.00%
001251,0.00%
001252,0.00%
001253,0.00%
001254,0.00%
001255,0.00%
001256,100.00%
001257,0.00%
001258,0.00%
001259,100.00%
001260,100.00%
001261,0.00%
001262,100.00%
001263,0.00%
001264,0.00%
001265,100.00%
001266,0.00%
001267,0.00%
001268,0.00%
001269,0.00%
001270,100.00%
001271,66.67%
001272,0.00%
001273,100.00%
001274,0.00%
001275,0.00%
001276,0.00%
001277,0.00%
001278,0.00%
001279,0.00%
001280,0.00%
001281,0.00%
001282,50.00%
001283,0.00%
001284,0.00%
001285,0.00%
001286,66.67%
001287,0.00%
001288,0.00%
001289,0.00%
001290,0.00%
001291,0.00%
001292,100.00%
001293,100.00%
001294,100.00%
001295,73.39%
001296,75.96%
001297,54.00%
001298,72.73%
001299,71.43%
001300,100.00%
001301,100.00%
001302,100.00%
001303,100.00%
001304,92.31%
001305,87.50%
001306,90.91%
001307,94.74%
001308,64.71%
001309,50.00%
001310,64.29%
001311,60.00%
001312,75.00%
001313,75.00%
001314,66.67%
001315,55.56%
001316,66.67%
001317,45.45%
001318,40.00%
001319,66.67%
001320,85.71%
001321,0.00%
001322,66.67%
001323,0.00%
001324,0.00%
001325,0.00%
001326,0.00%
001327,0.00%
001328,100.00%
001329,50.00%
001330,66.67%
001331,100.00%
001332,20.00%
001333,66.67%
001334,0.00%
001335,75.00%
001336,100.00%
001337,50.00%
001338,100.00%
001339,33.33%
001340,0.00%
001341,33.33%
001342,50.00%
001343,100.00%
001344,0.00%
001345,100.00%
001346,0.00%
001347,0.00%
001348,0.00%
001349,0.00%
001350,0.00%
001351,0.00%
001352,0.00%
001353,0.00%
001354,50.00%
001355,0.00%
001356,0.00%
001357,0.00%
001358,0.00%
001359,0.00%
001360,0.00%
001361,0.00%
001362,0.00%
001363,0.00%
001364,0.00%
001365,0.00%
001366,100.00%
001367,0.00%
001368,0.00%
001369,0.00%
001370,0.00%
001371,0.00%
001372,0.00%
001373,0.00%
001374,0.00%
001375,0.00%
001376,0.00%
001377,0.00%
001378,100.00%
001379,0.00%
001380,0.00%
001381,0.00%
001382,0.00%
001383,0.00%
001384,100.00%
001385,100.00%
001386,100.00%
001387,100.00%
001388,0.00%
001389,100.00%
001390,100.00%
001391,100.00%
001392,100.00%
001393,0.00%
001394,0.00%
001395,0.00%
001396,0.00%
001397,0.00%
001398,0.00%
001399,0.00%
001400,0.00%
001401,100.00%
001402,100.00%
001403,100.00%
001404,0.00%
001405,0.00%
001406,0.00%
001407,0.00%
001408,0.00%
001409,0.00%
001410,50.00%
001411,100.00%
001412,66.67%
001413,100.00%
001414,100.00%
001415,50.00%
001416,100.00%
001417,0.00%
001418,0.00%
001419,0.00%
001420,0.00%
001421,0.00%
001422,0.00%
001423,0.00%
001424,0.00%
001425,0.00%
001426,0.00%
001427,100.00%
001428,0.00%
001429,100.00%
001430,0.00%
001431,0.00%
001432,100.00%
001433,100.00%
001434,50.00%
001435,50.00%
001436,0.00%
001437,62.50%
001438,75.00%
001439,0.00%
001440,66.67%
001441,0.00%
001442,0.00%
001443,0.00%
001444,0.00%
001445,0.00%
001446,0.00%
001447,0.00%
001448,100.00%
001449,0.00%
001450,0.00%
001451,80.00%
001452,0.00%
001453,33.33%
001454,0.00%
001455,0.00%
001456,100.00%
001457,0.00%
001458,80.00%
001459,0.00%
001460,0.00%
001461,33.33%
001462,100.00%
001463,100.00%
001464,33.33%
001465,100.00%
001466,0.00%
001467,0.00%
001468,0.00%
001469,0.00%
001470,0.00%
001471,0.00%
001472,0.00%
001473,0.00%
001474,66.67%
001475,66.67%
001476,100.00%
001477,100.00%
001478,75.00%
001479,66.67%
001480,60.00%
001481,72.73%
001482,66.67%
001483,71.43%
001484,40.00%
001485,66.67%
001486,50.00%
001487,57.14%
001488,33.33%
001489,66.67%
001490,50.00%
001491,100.00%
001492,0.00%
001493,0.00%
001494,0.00%
001495,0.00%
001496,60.00%
001497,100.00%
001498,72.73%
001499,62.50%
001500,0.00%
001501,0.00%
001502,50.00%
001503,50.00%
001504,69.23%
001505,66.67%
001506,57.14%
001507,54.55%
001508,52.38%
001509,70.59%
001510,46.43%
001511,54.29%
001512,51.85%
001513,37.50%
001514,40.00%
001515,0.00%
001516,0.00%
001517,0.00%
001518,0.00%
001519,48.48%
001520,54.55%
001521,59.26%
001522,79.17%
001523,60.00%
001524,61.90%
001525,57.69%
001526,61.90%
001527,73.91%
001528,80.00%
001529,63.16%
001530,81.82%
001531,50.00%
001532,61.11%
001533,50.00%
001534,71.43%
001535,66.67%
001536,62.50%
001537,66.67%
001538,42.86%
001539,100.00%
001540,0.00%
001541,0.00%
001542,0.00%
001543,66.67%
001544,60.00%
001545,66.67%
001546,70.00%
001547,57.14%
001548,75.00%
001549,72.73%
001550,46.15%
001551,60.00%
001552,58.33%
001553,50.00%
001554,57.14%
001555,50.00%
001556,40.00%
001557,75.00%
001558,66.67%
001559,50.00%
001560,33.33%
001561,20.00%
001562,0.00%
001563,0.00%
001564,0.00%
001565,0.00%
001566,0.00%
001567,0.00%
001568,66.67%
001569,0.00%
001570,40.00%
001571,80.00%
001572,75.00%
001573,50.00%
001574,14.29%
001575,20.00%
001576,0.00%
001577,50.00%
001578,33.33%
001579,100.00%
001580,40.00%
001581,20.00%
001582,25.00%
001583,33.33%
001584,33.33%
001585,60.00%
001586,100.00%
001587,0.00%
001588,50.00%
001589,0.00%
001590,0.00%
001591,100.00%
001592,0.00%
001593,0.00%
001594,0.00%
001595,0.00%
001596,33.33%
001597,66.67%
001598,50.00%
001599,0.00%
001600,33.33%
001601,33.33%
001602,0.00%
001603,0.00%
001604,50.00%
001605,25.00%
001606,33.33%
001607,66.67%
001608,40.00%
001609,0.00%
001610,0.00%
001611,0.00%
001612,0.00%
001613,0.00%
001614,0.00%
001615,0.00%
001616,0.00%
001617,0.00%
001618,0.00%
001619,100.00%
001620,25.00%
001621,100.00%
001622,66.67%
001623,60.00%
001624,20.00%
001625,40.00%
001626,50.00%
001627,42.86%
001628,62.50%
001629,25.00%
001630,42.86%
001631,45.45%
001632,33.33%
001633,50.00%
001634,75.00%
001635,0.00%
001636,0.00%
001637,0.00%
001638,0.00%
001639,100.00%
001640,80.00%
001641,37.50%
001642,58.33%
001643,72.73%
001644,71.43%
001645,58.82%
001646,66.67%
001647,62.50%
001648,77.78%
001649,71.43%
001650,40.00%
001651,50.00%
001652,66.67%
001653,43.33%
001654,64.71%
001655,44.44%
001656,63.64%
001657,60.00%
001658,75.00%
001659,33.33%
001660,100.00%
001661,0.00%
001662,0.00%
001663,75.00%
001664,80.00%
001665,55.56%
001666,62.50%
001667,70.00%
001668,60.00%
001669,80.00%
001670,50.00%
001671,50.00%
001672,66.67%
001673,66.67%
001674,40.00%
001675,33.33%
001676,66.67%
001677,81.82%
001678,50.00%
001679,33.33%
001680,25.00%
001681,100.00%
001682,0.00%
001683,0.00%
001684,0.00%
001685,0.00%
001686,0.00%
001687,0.00%
001688,25.00%
001689,57.14%
001690,87.50%
001691,77.78%
001692,28.57%
001693,66.67%
001694,81.82%
001695,57.14%
001696,50.00%
001697,66.67%
001698,62.50%
001699,80.00%
001700,47.06%
001701,40.00%
001702,50.00%
001703,83.33%
001704,66.67%
001705,66.67%
001706,100.00%
001707,100.00%
001708,100.00%
001709,0.00%
001710,0.00%
001711,100.00%
001712,100.00%
001713,100.00%
001714,50.00%
001715,100.00%
001716,33.33%
001717,40.00%
001718,100.00%
001719,75.00%
001720,66.67%
001721,33.33%
001722,50.00%
001723,66.67%
001724,75.00%
001725,60.00%
001726,60.00%
001727,50.00%
001728,100.00%
001729,0.00%
001730,0.00%
001731,0.00%
001732,0.00%
001733,0.00%
